Certification ID,Certification Name
Network+,CompTIA Network+
Security+,CompTIA Security+
CySA+,CompTIA Cybersecurity Analyst 
CSAP,Certified SOC Analyst Professional
PenTest+,CompTIA PenTest+
CNVP,Certified Network Vulnerability Professional
CNSP,Certified Network Security Professional
GPEN,GIAC Penetration Tester
PMP,Project Management Professional 
ISO-31000,ISO-31000 Risk Manager
ISO-27001,ISO-27001 Lead Implementer
CEH,Certified Ethical Hacker
CISM,Certified Information Security Manager
CISCO,CISCO Certified Network Associate Routing and Switching
ISO 31000-LRM,ISO 31000 Lead Risk Manager
PR2,Prince 2
PMP,Project Management Profassional
CCNA,CISCO Certified Network Associate
CCNP,CISCO Certified Network Professional Enterprise
eWPTX,eLearnSecurity Web application Penetration Tester eXtreme
GMON,GIAC Continuous Monitoring Certification
CEH,Certified Ethical Hacker
CySA+,CompTIA CySA+ ce Certification
GPEN,GIAC Penetration Tester (GPEN)
ITIL,Information Technology Infrastructure Library
GCFA,GIAC Certified Forensic Analyst
eCMAP,Certified Malware Analysis Professional 
GCDA,GIAC Certified Detection Analyst 
GMON,GIAC Continuous Monitoring Certification
CEH,Certified Ethical Hacker
CCNA,CISCO Certified Network Associate
GCIH,GIAC Certified Incident Handler
CHFI,Computer Hacking Forensic Investigator
CISSP,Certified Information Systems Security Professional
GCFA,GIAC Certified Forensics Analyst
CCNA,CISCO Certified Network Associate
GDAT,GIAC Defending Advanced Threats 
CEH,Certified Ethical Hacker
CHFI,Computer Hacking Forensic Investigator
GCIH,GIAC Certified Incident Handler 
CCNA,CISCO Certified Network Associate
NSE,Fortinet Network Security Expert 
eCTHP,Certified Threat Hunting Professional
eJPTv2,Junior Penetration Tester
No Certification,No Certification
CISM,Certified Information Security Manager
CCNA,Cisco Certified Network Associate
eCTHP ,Certified Threat Hunting Professional
eCIR,Certified Incident Responder
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
CGEIT,Certified in the Governance of Enterprise IT
CISSP,Certified Information Systems Security Professional
CISM,Certified Information Security Manager 
RMP,Risk Management Professional 
ISO-27001,Information Security Management Systems 
No Certification,No Certification
CCNA,CISCO Certified Network Associate
GSEC,GIAC Security Essentials Certification
CCNP,CISCO Certified Network Professional
PCNSE,Palo Alto Networks Certified Network Security Engineer
CISM,Certified Information Security Manager
CTIA-S+,CompTIA Security+
ISO-27001-LI ,ISO-27001 Lead Implementer
CISRM,Certified Information Systems Risk Manager 
CISSA,Certified Information Systems Security Auditor
CISSM,Certified Information Systems Security Manager
CISSO,Certified Information Systems Security Officer
eJPT,Junior Penetration tester
GWAPT,GIAC Web Application Penetration Tester
NSE-4,Network Security Professional
No Certification,No Certification
CRTE,Certified Red Team Expert 
CRTP,Certified Red Team Professional 
eCPPT,Certified Professional Penetration Tester
Ecthp,Certified Threat Hunting Professional
eCDFP,Certified Digital Forensic Profassional
eCIR,Certified Incident Responder
eJPT,Junior Penetration Tester
CTIA-S+,CTIA-Security+
CCNA,Cisco Certified Network Associate Routing and Switching
GCFA,GIAC Certified Forensic Analyst 
eCDFP,eLearnSecurity Certified Digital Forensics Professional
Ecthp,eLearnSecurity Certified Threat Hunting Professional
GCFE,GIAC Certified Forensic Examiner
eCDFP,Certified Digital Forensics Professional
eCTHP,Certified Threat Hunting Professional
CHFI,Computer Hacking Forensic Investigator 
GPEN,GIAC Penetration Tester (GPEN)
GWAPT,GIAC Web Application Penetration Testing
CEH,Certified Ethical Hacker
GPEN,GIAC Penetration Tester
WAPTX,Web Application Penetration Tester eXtrem 
eCPPTv2,Certified Professional Penetration Tester
GMON,GIAC Continuous Monitoring Certification
eJPT,eLearnSecurity Junior Penetration Tester
CCNA,Cisco Certified Network Associate Routing and Switching 
RHCSA,Red Hat Certified System Administrator 
CCNA,CISCO Certified Network Associate Routing and Switching
GMON,GIAC Continuous Monitoring Certification
RHCSA,Red Hat Certified System Administrator 
PCNSA,Palo Alto Networks Certified Network Security Administrator
GMON,GIAC Continuous Monitoring Certification 
DFP,Digital Forensics Professional
Ejpt,Junior Penetration Tester
CCNA,CISCO Certified Network Associate
GCFR,GIAC Cloud Forensics Responder
GMON,GIAC Continuous Monitoring Certification
eCTHP,Certified Threat Hunting Professional
eCIR,Certified Incident Responder
eJPT,Junior Penetration Tester
OSDA,OffSec Defense Analyst 
eJPT,Junior Penetration tester 
CISSP,Certified Information Systems Security Professional
SSCP,Systems Security Certified Practitioner
CTIA-S+,CompTIA Security+
CTIA-N+,ComTIA Network+
CRISC,Certification in Risk and Information Systems Control 
No Certification,No Certification
GCIH,GIAC Certified Incident Handler
CISM,Certified Information Security Manager
JNCIP-SEC,Juniper Networks Certified Professional Security 
CRISC,Certified in Risk and Information Systems Control
GCLD,GIAC Cloud Security Essentials 
CISA,Certified Information Systems Auditor
GSNA,GIAC Systems and Network Auditor
No Certification,No Certification
CCNA,Cisco Certified Network Associate Routing and Switching
CIH,Certified Incident Handler 
ISO-27005,ISO-27005 Lead Risk Manager
CISM,Certified Information Security Manager
EDRP,Disaster Recovery Professional 
CTIAS+,CTIA-Security+
PMP,Project Management Professional
CISSP,Certified Information Systems Security Professional
GNFA,GIAC Network Forensic Analyst 
GCTI,GIAC Cyber Threat Intelligence
eCTHP,Certified Threat Hunting Professional
GCIH,GIAC Certified Incident Handler 
GCFA,GIAC Certified Forensic Analyst 
GCFE,GIAC Certified Forensic Examiner
CISM,Certified Information Security Manager
ISO-27001-LI,ISO-27001 Lead Implementer
ISO-22301-LI,ISO-22301 Lead Implementer
CTIA-S+,COMPTIA Security 
CISM,Certified Information Security Manager
CCNA,Cisco Certified Network Associate
GCIH,GIAC Certified Incident Handler
CySA+,CompTIA CySA+ ce Certification
GMON,GIAC Continuous Monitoring Certification 
GCIA,GIAC Certified Intrusion Analyst
ISO-27001-LI,ISO-27001 Lead Implementer
CRISC,Certified in Risk and Information Systems Control
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
CCNA,CISCO Certified Network Associate
GSLC,GIAC Security Leadership 
CISSP,Certified Information Systems Security Professional
CRISC,Certified In Risk and Information Systems Control 
CISA,Certified Information Systems Auditor
ISO-27001,Information Security Management System
CC,Cyber Security Essential
CEH,Certified Ethical Hacker
ejpt,eLearnsecurity Junior Penetration Tester
CISM,Certified Information Security Manager
CCNA,CISCO Certified Network Associate
CySA+,CompTIA CySA+ ce Certification
CCNP,CISCO Certified Network Professional 
CISM,Certified Information Security Manager
CISSP,Certified Information Systems Security Professional
ITIL,Information Technology Infrastructure Library
No Certification,No Certification
CEH,Certified Ethical Hacker
CISA,Certified Information Systems Auditor
ISO-27001-LA,ISO-27001 Lead Auditor
CCNP,CISCO Certified Network Professional
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
CISSP,Certified Information Systems Security Professional
GCIH,GIAC Certified Incident Handler
GSEC,GIAC Security Essentials 
GWAPT,GIAC Web Application Penetration Testing 
RHCSA,Red Hat Certified System Administrator 
GMOB,GIAC Mobile Device Security Analyst
GCIH,GIAC Certified Incident Handler
PMI-ACP,PMI Agile Certified Practitioner
MCSE,Microsoft Certified Solutions Expert
CCNA,Cisco Certified Network Associate
CNA,Certified Network Administrator
MCDBA,Microsoft Certified Database Administrator
MCAD,Microsoft Certified Application Developer
MCT,Microsoft Certified Trainer
CTIA-S+,CompTIA Security+
CISM,Certified Information Security Manager
CCNA,CISCO Certified Network Associate
CIH,Certified Incident Handler v2
GPEN,GIAC Penetration Tester 
SSCP,Systems Security Certified Practitioner
GWAPT,GIAC Web Application Penetration Tester
GWEB,GIAC Certified Web Application Defender 
CCNA,CISCO Certified Network Associate
CTIA-S+,CompTIA Security+
CSFPC,Cyber Security Foundation Professional Certificate
NSE 1,Fortinet Network Security Expert – Level 1
NSE 2,Fortinet Network Security Expert – Level 2
No Certification,No Certification
CEH,Certified Ethical Hacker
CISSP,Certified Information Systems Security Professional
GCFA,GIAC Certified Forensic Analyst
CCNA,Cisco Certified Network Associate
GCIH,GIAC Certified Incident Handler
CCNA,Cisco Certified Network Associate
eCPPT,Certified Professional Penetration Tester
eWPTv2,Web Application Penetration Tester
eJPTv2,Junior Penetration Tester
ISO-22301-LI,ISO-22301 lead implementer
ISO-27001-LI,ISO-27001 Lead Implementer 
CRISC,Certified in Risk and Information Systems Control
CISM,Certified Information Security Manager
CISA,Certified Information Systems Auditor
GDPRF,General Data Protection Regulation Foundation
ISO-27701 -LA,ISO27701 LEAD AUDITOR
CISSP,Certified Information Systems Security Professional
CISA,Certified Information System Audit
CEH,Certified Ethical Hacker
GSTRT,GIAC Strategic Planning Policy and Leadership
ISO-27001-LI,Information Security Management Systems: Lead Implementer
ISO-27005,ISO/IEC 27005 – Information Security Risk Management
GRCP,"Governance, Risk and Compliance Professional"
GRCA,"Governance, Risk and Compliance Analyst"
PDPL,Personal Data Protection Law Certification
IPMP,International Project Management Professional
PMP,Project Management Professional
CISM,Certified Information Security Manager
CCZT,Certified Cybersecurity Zero Trust
ISO-27001,ISO/IEC 27001 – Information Security Management System 
